country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2016,2016-07,ssp245,median,7.48,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp245,median,7.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp245,median,7.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp245,median,7.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp245,median,7.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp245,median,7.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp245,median,7.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp245,median,7.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp245,median,7.91,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp245,median,7.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp245,median,7.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp245,median,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp245,median,8.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp245,median,8.12,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp245,median,8.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp245,median,8.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp245,median,8.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp245,median,8.3,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp245,median,8.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp245,median,8.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp245,median,8.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp245,median,8.42,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp245,median,8.47,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp245,median,8.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp245,median,8.48,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp245,median,8.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp245,median,8.48,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp245,median,8.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp245,median,8.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp245,median,8.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp245,median,8.78,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp245,median,8.77,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp245,median,8.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp245,median,8.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp245,median,9.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp245,median,8.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp245,median,8.76,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp245,median,9.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp245,median,8.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp245,median,9.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp245,median,9.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp245,median,9.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp245,median,9.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp245,median,9.19,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp245,median,9.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp245,median,9.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp245,median,9.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp245,median,9.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp245,median,9.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp245,median,9.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp245,median,9.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp245,median,9.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp245,median,9.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp245,median,9.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp245,median,9.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp245,median,9.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp245,median,9.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp245,median,9.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp245,median,9.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp245,median,9.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp245,median,9.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp245,median,9.74,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp245,median,9.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp245,median,9.68,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp245,median,9.72,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp245,median,9.58,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp245,median,9.71,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp245,median,9.91,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp245,median,9.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp245,median,9.79,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp245,median,9.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp245,median,9.81,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp245,median,9.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp245,median,9.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp245,median,10,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp245,median,10.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp245,median,9.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp245,median,9.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp245,median,9.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp245,median,9.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp245,median,10.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp245,median,10.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp245,median,9.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp245,median,9.97,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp245,median,9.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp245,p10,6.71,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp245,p10,6.55,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp245,p10,6.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp245,p10,6.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp245,p10,6.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp245,p10,6.81,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp245,p10,6.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp245,p10,7.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp245,p10,7.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp245,p10,7.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp245,p10,7.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp245,p10,7.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp245,p10,7.23,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp245,p10,7.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp245,p10,7.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp245,p10,7.28,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp245,p10,7.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp245,p10,7.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp245,p10,7.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp245,p10,7.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp245,p10,7.4,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp245,p10,7.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp245,p10,7.49,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp245,p10,7.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp245,p10,7.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp245,p10,7.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp245,p10,7.57,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp245,p10,7.47,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp245,p10,7.64,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp245,p10,7.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp245,p10,7.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp245,p10,7.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp245,p10,7.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp245,p10,7.91,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp245,p10,7.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp245,p10,7.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp245,p10,8.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp245,p10,7.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp245,p10,8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp245,p10,8.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp245,p10,8.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp245,p10,8.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp245,p10,7.78,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp245,p10,8.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp245,p10,8.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp245,p10,8.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp245,p10,8.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp245,p10,8.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp245,p10,8.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp245,p10,8.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp245,p10,8.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp245,p10,8.34,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp245,p10,8.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp245,p10,8.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp245,p10,8.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp245,p10,8.3,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp245,p10,8.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp245,p10,8.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp245,p10,8.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp245,p10,8.42,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp245,p10,8.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp245,p10,8.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp245,p10,8.7,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp245,p10,8.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp245,p10,8.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp245,p10,8.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp245,p10,8.57,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp245,p10,8.59,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp245,p10,8.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp245,p10,8.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp245,p10,8.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp245,p10,8.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp245,p10,8.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp245,p10,8.71,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp245,p10,8.63,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp245,p10,8.91,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp245,p10,9.01,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp245,p10,8.72,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp245,p10,8.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp245,p10,8.79,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp245,p10,8.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp245,p10,8.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp245,p10,8.71,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp245,p10,8.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp245,p10,8.71,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp245,p10,8.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp245,p90,8.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp245,p90,8.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp245,p90,8.4,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp245,p90,8.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp245,p90,8.43,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp245,p90,8.4,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp245,p90,8.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp245,p90,8.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp245,p90,8.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp245,p90,8.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp245,p90,8.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp245,p90,9.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp245,p90,8.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp245,p90,9.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp245,p90,9.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp245,p90,8.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp245,p90,9.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp245,p90,8.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp245,p90,9.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp245,p90,9.25,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp245,p90,9.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp245,p90,9.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp245,p90,9.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp245,p90,9.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp245,p90,9.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp245,p90,9.46,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp245,p90,9.58,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp245,p90,9.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp245,p90,9.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp245,p90,9.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp245,p90,9.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp245,p90,9.74,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp245,p90,9.75,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp245,p90,9.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp245,p90,9.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp245,p90,10.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp245,p90,10,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp245,p90,9.76,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp245,p90,9.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp245,p90,10.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp245,p90,10.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp245,p90,10.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp245,p90,10.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp245,p90,10.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp245,p90,10.43,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp245,p90,10.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp245,p90,10.3,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp245,p90,10.64,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp245,p90,10.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp245,p90,10.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp245,p90,10.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp245,p90,10.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp245,p90,10.48,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp245,p90,10.7,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp245,p90,10.68,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp245,p90,10.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp245,p90,10.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp245,p90,10.75,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp245,p90,10.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp245,p90,10.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp245,p90,10.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp245,p90,10.77,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp245,p90,11.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp245,p90,10.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp245,p90,10.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp245,p90,10.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp245,p90,11.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp245,p90,11.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp245,p90,11.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp245,p90,11.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp245,p90,11.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp245,p90,11.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp245,p90,11.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp245,p90,11.34,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp245,p90,11.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp245,p90,11.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp245,p90,11.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp245,p90,11.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp245,p90,11.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp245,p90,11.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp245,p90,11.28,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp245,p90,11.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp245,p90,11.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp245,p90,11.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp245,p90,11.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp245,p90,11.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp370,median,7.49,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp370,median,7.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp370,median,7.55,tas_timeseries_CHN_2015-2100_median_p10_p90.json
